Index,Requirement,Ground Truth,Response
9506,whenever get_to cup or at some time seize orange,F get_to_cup | F seize_orange,G(get_to_cup ) | F(seize_orange )
9509,"first, eventually, both the escalator moves and a car starts, and then, sooner or later a train has arrived",G!(car_starts & escalator_moves) | F(car_starts & escalator_moves & F train_has_arrived),! (escalator_moves & car_starts) | F ((escalator_moves & car_starts) & F (train_has_arrived))
9510,"Whenever neither get_help nor avoid the probable_debris holds, go_home eventually holds.",G(!(avoid_probable_debris & get_help) -> F go_home),G((!get_help & !avoid_probable_debris) -> F(go_home))
9511,whenever pass_by house until gather apple,F pass_by_house U gather_apple,G(pass_by_house U gather_apple)
9513,never drop pear and whenever journey_to flag,G!drop_pear & F journey_to_flag,G(!drop_pear) & G(journey_to_flag -> journey_to_flag)
9514,when possible go_by flag can infer that when possible pass_by trash bin,F go_by_flag -> F pass_by_trash_bin,G(go_by_flag -> F(pass_by_trash_bin))
9515,"If photo the cyclist on southeast_2nd_street ever holds, photo the vehicle on south_5th_avenue must have held beforehand.",F photo_cyclist_southeast_2nd_street -> (!photo_cyclist_southeast_2nd_street U (!photo_cyclist_southeast_2nd_street & photo_vehicle_south_5th_avenue)),!photo_cyclist_southeast_2nd_street | F(photo_vehicle_south_5th_avenue & F(photo_cyclist_southeast_2nd_street))
9516,Whenever ( prop_3 ) then all of the following conditions are true : without any delay ( prop_2 ) and at the same time the transition action that ( prop_1 ) ought to get detected .,G(prop_3 -> (prop_1 & prop_2)),G(prop_3 -> (X(prop_2 & prop_1)))
9518,Take letter 2 from post_office_1 and place it in building_3 afterward,F(post_office_1 & F(p_lettter_2 & F(building_3 & pd))),F(pd & post_office_1 & p_lettter_2 & F(pd & building_3 & p_lettter_2))
9521,"Pick up box_1 from store_6, deliver it to house_9, and then head to intersection_5 and stay there",F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & G intersection_5),F(p_box_1 & store_6 & F(pd & house_9 & F(G intersection_5)))
9522,The scenario in which (prop_2) happens and then (prop_3) happens is equivalent to the scenario in which finally (prop_1) happens .,(prop_2 -> prop_3) <-> F prop_1,F(prop_2 & F(prop_3)) <-> F(prop_1 )
9523,"Globally , whenever the transition action that ( prop_1 ) occurs then promptly ( prop_2 ) .",G(prop_1 -> prop_2),G(prop_1 -> X prop_2)
9525,"Whenever search the sheep and idle are equal, idle and search the oven are equal as well.",G((idle <-> search_sheep) -> (idle <-> search_oven)),G((search_sheep & idle) -> (idle & search_oven))
9527,Continuously revisit warehouse 4 and each time ensure you pick up crate 3 and deliver it to mall 3,GF(warehouse_4 & F(p_crate_3 & F(mall_3 & pd))),G(warehouse_4 -> F(p_crate_3 & F(mall_3)))
9529,Retrieve dish 2 by going to parking lot 2,F(p_dish_2 & parking_lot_2),F(parking_lot_2 & F p_dish_2)
9530,"If (prop_1) or (prop_2), then keep (prop_3) for all time .",(prop_1 | prop_2) -> G prop_3,G((prop_1 | prop_2) -> G(prop_3))
9531,"(prop_2) is not observed, or do (prop_3) and (prop_1) .",!prop_2 | (prop_1 & prop_3),G(!prop_2 | (prop_3 & prop_1))
9532,Avoid entering park 3 while completing the task of taking a picture of monument 3,G!park_3 & F(monument_3 & photo),G(!(park_3 & (photo & monument_3)))
9533,at any time ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2),G(prop_1 & F prop_2)
9535,gather orange until when possible proceed_to tree,gather_orange U F proceed_to_tree,gather_orange U proceed_to_tree
9536,( prop_1 ) can infer that at any time ( prop_2 ),prop_1 -> F prop_2,G(prop_1 -> G prop_2)
9538,"If (prop_1) doesn't happen, then keep waiting until (prop_3) is equivalent to (prop_2) .",!prop_1 U (prop_2 <-> prop_3),G(!prop_1 -> (!prop_1 U (prop_3 <-> prop_2)))
9539,"it is going to happen that the engine breaks or a car enters and, at a certain moment either the constructor creates instances or a table is old afterwards",G!(car_enters | engine_breaks) | F((car_enters | engine_breaks) & F(constructor_creates_instances | table_is_old)),F((engine_breaks | car_enters) & F(constructor_creates_instances | table_is_old))
9540,"When the scenario that ( prop_3 ) takes place , then at the same moment ( prop_1 ) and without any delay ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2)),G(prop_3 -> (prop_1 & X prop_2))
9541,approach tree can infer that when possible visit waste basket,approach_tree -> F visit_waste_basket,G(approach_tree -> F(visit_waste_basket))
9543,"If it is not the case that ( prop_1 ) then ( prop_2 ) , then ( prop_3 ) .",!(prop_1 -> prop_2) -> prop_3,G((!prop_1 -> prop_2) -> prop_3)
9544,"If deliver the knife to the loading_dock ever holds, idle must have held beforehand.",F deliver_knife_loading_dock -> (!deliver_knife_loading_dock U (!deliver_knife_loading_dock & idle)),!deliver_knife_loading_dock | F(idle & F(deliver_knife_loading_dock))
9545,whenever ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | GF prop_2)
9547,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1 & F prop_2)
9548,never ( prop_1 ) until at some time ( prop_2 ),G(!prop_1 U F prop_2),(!prop_1 ) U ( prop_2 )
9550,"If ( prop_3 ) leads to ( prop_2 ), then when ( prop_4 ) happens, it should also lead to ( prop_1 ).",(prop_3 -> prop_2) -> (prop_4 -> prop_1),G(prop_3 -> F(prop_2)) -> G(prop_4 -> F(prop_1))
9551,"(prop_2) does not occur, and do (prop_1) until (prop_3) .",!prop_2 & (prop_1 U prop_3),G(!prop_2 ) & (prop_1 U prop_3 )
9552,"If pickup the teddy-bear holds, then in the next step get_help persists until idle holds, or else get_help holds forever.",pickup_teddy_bear -> X((get_help U idle) | G get_help),G(pickup_teddy_bear -> X(get_help U idle | G get_help))
9553,never let_go apple or when possible move_forward trash can,G!let_go_apple | F move_forward_trash_can,G(!let_go_apple) | G(move_forward_trash_can)
9554,"( prop_3 ) is not detected and ( prop_2 ) is detected , and ( prop_1 ) happens .",prop_1 & prop_2 & !prop_3,G(!prop_3 & prop_2 & prop_1)
9555,go through the yellow or red_room to reach the blue_room,F((red_room | yellow_room) & F blue_room),! (yellow_room | red_room) | F ((yellow_room | red_room) & F blue_room)
9556,"If ( prop_2 ) or ( prop_1 ) happens , then ( prop_3 ) does not happen .",(prop_1 | prop_2) -> !prop_3,G((prop_2 | prop_1) -> !prop_3)
9557,"If (prop_1) and (prop_2) happen at the same time, then wait until (prop_3) or (prop_4) happens .",(prop_1 & prop_2) U (prop_3 | prop_4),G((prop_1 & prop_2) -> (! (prop_3 | prop_4) U (prop_3 | prop_4)))
9559,Go to office 3 to pick up document 1 and move to street 2 to remain there indefinitely,F(office_3 & F(p_document_1 & F(street_2 & G street_2))),F(office_3 & p_document_1 & F(G street_2))
9560,"If (prop_1) does not occur, then (prop_3) and (prop_2) should happen, and vice versa .",!prop_1 <-> (prop_2 & prop_3),G(!prop_1 <-> (prop_3 & prop_2))
9562,"If (prop_2), (prop_3) until (prop_1).",prop_2 -> (prop_3 U prop_1),G(prop_2 -> (prop_3 U prop_1))
9563,at any time contact house or never drop orange,F contact_house | G!drop_orange,G(contact_house | G(!drop_orange))
9565,never drop orange and when possible start_going_to tree,G!drop_orange & F start_going_to_tree,G(!drop_orange) & G(F start_going_to_tree)
9566,"If at some point ( prop_4 ) happens and continues to happen until ( prop_2 ) is detected , then the scenario is equivalent to ( prop_3 ) , and ( prop_1 ) .",prop_1 & (prop_3 <-> (prop_4 U prop_2)),F(prop_4 U prop_2) -> (prop_3 & prop_1)
9567,Do not at locality_5 before collecting pass_5 from house_2 and delivering it to office_3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),G(!locality_5 U (p_pass_5 & house_2 & F(p_pass_5 & office_3)))
9568,when the train is crossing then if a table is brown then at a certain moment the motorbike has stopped afterwards,G(train_is_crossing -> G(table_is_brown -> F motorbike_has_stopped)),G((train_is_crossing & table_is_brown) -> F(motorbike_has_stopped))
9569,gather apple until when possible move_past trash can,gather_apple U F move_past_trash_can,gather_apple U move_past_trash_can
9570,"first, it will happen that both the manager collect claims and a semaphore is broken, and then, eventually, either the sensor retrieves data or a train has been launched",G!(manager_collect_claims & semaphore_is_broken) | F(manager_collect_claims & semaphore_is_broken & F(sensor_retrieves_data | train_has_been_launched)),! (manager_collect_claims & semaphore_is_broken) | F ((manager_collect_claims & semaphore_is_broken) & F (sensor_retrieves_data | train_has_been_launched))
9572,"If photo the vehicle on southeast_1st_avenue ever holds, record the jaywalker on east_7th_avenue must have held beforehand.",F photo_vehicle_southeast_1st_avenue -> (!photo_vehicle_southeast_1st_avenue U (!photo_vehicle_southeast_1st_avenue & record_jaywalker_east_7th_avenue)),!photo_vehicle_southeast_1st_avenue | F(record_jaywalker_east_7th_avenue & F(photo_vehicle_southeast_1st_avenue))
9574,"always, the bar is down or the sensor retrieves data after either a manager handles requests or a motorbike has started",G((manager_handles_requests | motorbike_has_started) -> G(bar_is_down | sensor_retrieves_data)),G((manager_handles_requests | motorbike_has_started) -> F(bar_is_down | sensor_retrieves_data))
9575,don't pick_up anything or when possible withold apple,!F pick_up_anything | F withold_apple,G(!pick_up_anything | withold_apple)
9576,forever hold_on pear and drop pear,drop_pear & G hold_on_pear,G(hold_on_pear & drop_pear)
9577,"eventually, either a motorbike has stopped or the engine stops after either a motorbike is driven or an elevator is open",G((elevator_is_open | motorbike_is_driven) -> F(engine_stops | motorbike_has_stopped)),F(motorbike_has_stopped | ((motorbike_is_driven | elevator_is_open) -> F(engine_stops)))
9578,Stay within area 5 until you collect package 8 from store 2 and transport it to house 9,area_5 U (store_2 & F(p_package_8 & F(house_9 & pd))),area_5 U (p_package_8 & store_2 & F(p_package_8 & house_9))
9580,"first, eventually, the sensor retrieves data and the house collapses, and then, finally, a car starts and the semaphore is broken",G!(house_collapses & sensor_retrieves_data) | F(house_collapses & sensor_retrieves_data & F(car_starts & semaphore_is_broken)),! (sensor_retrieves_data & house_collapses) | F ((sensor_retrieves_data & house_collapses) & F (car_starts & semaphore_is_broken))
9581,whenever obtain pear or never drop orange,F obtain_pear | G!drop_orange,G((obtain_pear | G(!drop_orange)))
9583,"when ( prop_1 ) , at any time ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G(prop_2))
9585,guarantee that (prop_1),F prop_1,G(prop_1 )
9588,at the yellow_room,F yellow_room,G(yellow_room )
9589,forever hold_onto orange and whenever get_close flag,G hold_onto_orange & F get_close_flag,G(hold_onto_orange & (get_close_flag -> get_close_flag))
9590,"Get (prop_1) to occur as soon as possible, and while doing so, also do (prop_3) and (prop_2) .",prop_2 & prop_3 & F prop_1,(!prop_1 U (prop_1 & prop_2 & prop_3))
9592,"(prop_1). Once (prop_2), (prop_3)",prop_1 & (prop_2 U prop_3),G(prop_1) & G(prop_2 -> F(prop_3))
9594,at the green_room,F green_room,G(green_room )
9597,"Either (prop_1) is the same as (prop_2), or else if (prop_3), then make sure (prop_4) .",(prop_1 <-> prop_2) | (prop_3 -> prop_4),(prop_1 <-> prop_2) | G(prop_3 -> F(prop_4))
9599,"at some point in time both the train has been launched and the escalator is blocked and, at some point in time a train has arrived afterwards",G!(escalator_is_blocked & train_has_been_launched) | F(escalator_is_blocked & train_has_been_launched & F train_has_arrived),F((train_has_been_launched & escalator_is_blocked) & F(train_has_arrived))
9601,never ( prop_1 ) until at any time ( prop_2 ),G(!prop_1 U F prop_2),(!prop_1 ) U (prop_2 )
9605,"If (prop_2) and (prop_3), then if (prop_4), then (prop_1) .",(prop_2 & prop_3) -> (prop_4 -> prop_1),G((prop_2 & prop_3) -> (prop_4 -> prop_1))
9608,"Whenever (prop_2) or (prop_3) happens, make sure (prop_1) always happens .",(prop_2 | prop_3) -> G prop_1,G((prop_2 | prop_3) -> G(prop_1))
9612,At some point (prop_1) and at some point (prop_2),F(prop_1 & prop_2),F(prop_1 ) & F(prop_2 )
9614,"when when possible ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2)
9615,whenever ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),G(prop_1 | G(!prop_2))
9616,( prop_1 ) can infer that whenever ( prop_2 ),prop_1 -> F prop_2,G(prop_1 -> G(prop_2))
9620,The scenario in which ( prop_1 ) doesn't happen is equivalent to the scenario in which ( prop_3 ) happens and continues until ( prop_2 ) happens .,!prop_1 <-> (prop_3 U prop_2),G(!prop_1 ) <-> (prop_3  U prop_2 )
9621,"The scenario that ( prop_3 ) , and the scenario that ( prop_1 ) , and the scenario that ( prop_4 ) , and the scenario that ( prop_2 ) .",prop_1 & prop_2 & prop_3 & prop_4,G(prop_3 & prop_1 & prop_4 & prop_2)
9622,keep apple until when possible have pear,keep_apple U F have_pear,keep_apple U have_pear
9623,"Call for help should always hold, with at most a two-step grace period for recovery.",!G!(get_help & X get_help),G(get_help | X get_help | X X get_help)
9626,"If (prop_3) and (prop_1), then either do (prop_2) or (prop_4) .",(prop_1 & prop_3) -> (prop_2 | prop_4),G((prop_3 & prop_1) -> (prop_2 | prop_4))
9629,"at any time the semaphore is broken, the elevator is blocked and a bridge closes",G(bridge_closes & elevator_is_blocked & semaphore_is_broken),G(semaphore_is_broken -> (elevator_is_blocked & bridge_closes))
9630,"At some point ( prop_2 ) or ( prop_1 ) , and ( prop_3 ) .",prop_3 & (prop_1 | prop_2),F((prop_2 | prop_1) & prop_3 )
9632,whenever ( prop_1 ) and repeatedly ( prop_2 ),F(prop_1 & GF prop_2),G(prop_1 -> G(F prop_2))
9634,never let_go orange or when possible go_to peach,G!let_go_orange | F go_to_peach,G(!let_go_orange | F go_to_peach)
9635,"If at some point ( prop_2 ) then ( prop_3 ) happens and this scenario will hold until ( prop_4 ) is detected , and ( prop_1 ) .",prop_1 & ((prop_2 -> prop_3) U prop_4),G(prop_2 -> (prop_3 U prop_4)) & G(prop_1)
9636,advance_to tree until whenever got_to house,advance_to_tree U F got_to_house,advance_to_tree U got_to_house
9638,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2))
9639,"If ( prop_1 ) and ( prop_2 ), then ( prop_5 ) until ( prop_6 ) does not happen , and ( prop_4 ) until ( prop_3 ) does not happen .",((prop_1 & prop_2) -> (prop_5 U !prop_6)) & (prop_4 U !prop_3),G((prop_1 & prop_2) -> (!(prop_5 U prop_6) & !(prop_4 U prop_3)))
9642,"eventually, a sensor gathers information and, sooner or later a train has arrived afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F train_has_arrived),F(sensor_gathers_information & F(train_has_arrived))
9646,never ( prop_1 ) and ( prop_2 ),G(!prop_1 & prop_2),G(!(prop_1 & prop_2))
9647,"If (prop_3), (prop_1) and (prop_2) as well.",prop_3 -> (prop_1 & prop_2),G(prop_3 -> (prop_1 & prop_2))
9648,"If record the person on north_10th_avenue ever holds, change light_west green must have held beforehand.",F record_person_north_10th_avenue -> (!record_person_north_10th_avenue U (change_light_west_green & !record_person_north_10th_avenue)),!record_person_north_10th_avenue | F(record_person_north_10th_avenue & F(change_light_west_green))
9649,"As long as you do not do (prop_3), keep doing (prop_1) until (prop_2) .",!prop_3 -> (prop_1 U prop_2),G(!prop_3 -> (prop_1 U prop_2))
9651,"Our agent must eventually, avoid requesting assistance.",F!get_help,F(G(!get_help ))
9654,snatch_up pear and grip apple,grip_apple & snatch_up_pear,G(snatch_up_pear & grip_apple)
9655,"first, at some point in time either the engine breaks or the car enters, and then, at some point either an elevator is blocked or a house is open",G!(car_enters | engine_breaks) | F((car_enters | engine_breaks) & F(elevator_is_blocked | house_is_open)),!((engine_breaks | car_enters)) | F((engine_breaks | car_enters) & F(elevator_is_blocked | house_is_open))
9659,It should be the case that either (prop_2) or (prop_3) is true if and only if (prop_1) is not true .,!prop_1 <-> (prop_2 | prop_3),G((prop_2 | prop_3) <-> !prop_1)
9660,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 )
9661,"Pick up box 1 from store 6, deliver it to house 9, and then head to intersection 5 and stay there",F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & G intersection_5),F(p_box_1 & store_6 & F(pd & house_9 & F(G intersection_5)))
9663,"first, at some point in time the brake is pressed and the motorbike has stopped, and then, it is going to happen that the sensor gathers information",G!(brake_is_pressed & motorbike_has_stopped) | F(brake_is_pressed & motorbike_has_stopped & F sensor_gathers_information),! (brake_is_pressed & motorbike_has_stopped) | F ((brake_is_pressed & motorbike_has_stopped) & F (sensor_gathers_information))
9665,repeatedly go_to waste basket until at any time go_by flag,GF go_to_waste_basket U F go_by_flag,(go_to_waste_basket ) U (go_by_flag )
9666,move_to tree and put_in bin,move_to_tree & put_in_bin,F(move_to_tree & F put_in_bin)
9671,Always stay in locality_7 as you take letter_1 from office_4 to house_1,G locality_7 & F(office_4 & F(p_letter_1 & F(house_1 & pd))),G((p_letter_1 & office_4) -> (locality_7 U house_1))
9672,"After (prop_3) finally occurs, make sure that either (prop_1) or (prop_2) happen .",F prop_3 -> (prop_1 | prop_2),G(prop_3 -> F(prop_1 | prop_2))
9674,"If (prop_1), (prop_3) until (prop_2).",prop_1 -> (prop_3 U prop_2),G(prop_1 -> (prop_3 U prop_2))
9677,"If (prop_1) and (prop_2) happen at the same time, then this is equivalent to (prop_4) or (prop_3) happening .",(prop_1 & prop_2) <-> (prop_3 | prop_4),G((prop_1 & prop_2) <-> (prop_4 | prop_3))
9679,"For each time instant in the coming time units if ( prop_3 ) then ( prop_2 ) should be detected , and also ( prop_1 ) .",prop_1 & G(prop_3 -> prop_2),G(prop_3 -> (prop_2 & prop_1))
9680,at any time ( prop_1 ) or do not ( prop_2 ),F(prop_1 | !prop_2),G(prop_1 | ! prop_2)
9682,only go through yellow_rooms to get to blue_rooms,F(yellow_room & F blue_room),(!blue_room ) U (yellow_room )
9686,"For all time, make sure (prop_1) is always true, and if (prop_2), then do (prop_3) .",(prop_2 -> prop_3) & G prop_1,G(prop_1 & (prop_2 -> prop_3))
9688,"It is always the case that if ( prop_1 ) or ( prop_3 ) then the following condition holds : there exists a certain moment in the future , at which ( prop_2 ) .",G((prop_1 | prop_3) -> FG prop_2),G((prop_1 | prop_3) -> F(prop_2))
9690,If it is not the case that ( prop_2 ) or ( prop_1 ) then ( prop_3 ) .,!(prop_1 | prop_2) -> prop_3,G(!(prop_2 | prop_1) -> prop_3)
9691,"If get_help holds, then in the next step record the collision on north_3rd_avenue persists until recording the motorcycle on east_3rd_avenue holds, or else record the collision on north_3rd_avenue holds forever.",get_help -> X((record_collision_north_3rd_avenue U record_motorcycle_east_3rd_avenue) | G record_collision_north_3rd_avenue),G(get_help -> X(record_collision_north_3rd_avenue U record_motorcycle_east_3rd_avenue | G record_collision_north_3rd_avenue))
9692,It should not be the case that (prop_3) is true if and only if either (prop_1) or (prop_2) is true .,!prop_3 <-> (prop_1 | prop_2),G(!(prop_3 <-> (prop_1 | prop_2)))
9693,Go to street 5 and then go to house 4,F(street_5 & F house_4),!street_5 | F(street_5 & F(house_4))
9696,when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G(prop_1 & prop_2)
9697,when possible move_near tree and drop pear,drop_pear & F move_near_tree,G(move_near_tree -> F(drop_pear))
9698,"If (prop_1), then (prop_2), or else keep (prop_4) until (prop_3) .",(prop_1 -> prop_2) | (prop_4 U prop_3),G(prop_1 -> (prop_2 | (prop_4 U prop_3)))
9699,"All of ( prop_3 ) , ( prop_2 ) , and ( prop_1 ) should be detected .",prop_1 & prop_2 & prop_3,F(prop_1 & prop_2 & prop_3)
9700,"If (prop_1) happens, then (prop_3), or else (prop_2) should not happen .",!prop_2 | (prop_1 -> prop_3),G(prop_1 -> (prop_3 | !prop_2))
9703,"Either do ( prop_1 ) or ( prop_2 ), or do not do ( prop_3 ).",prop_1 | prop_2 | !prop_3,G(prop_1 | prop_2 | !prop_3)
9704,If ( prop_1 ) then ( prop_2 ) and ( prop_4 ) then ( prop_3 ) .,(prop_4 & (prop_1 -> prop_2)) -> prop_3,G((prop_1 & prop_2 & prop_4) -> F(prop_3))
9705,"If ( prop_2 ) then ( prop_3 ) happens , and ( prop_4 ) is equivalent to ( prop_1 ) .",(prop_2 -> prop_3) & (prop_1 <-> prop_4),G((prop_2 -> F prop_3) & (prop_4 <-> prop_1))
9707,"If (prop_2), then ensure that (prop_1) until (prop_3).",prop_2 -> (prop_1 U prop_3),G(prop_2 -> (prop_1 U prop_3))
9709,"If at some point ( prop_4 ) is equivalent to ( prop_3 ) and this scenario continues until ( prop_1 ) is detected , and ( prop_2 ) .",prop_2 & ((prop_3 <-> prop_4) U prop_1),F(((prop_4 <-> prop_3) U prop_1) & prop_2)
9712,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & F(prop_2 )
9713,"Once deliver the bottle to the shelf has occurred, search the handbag will never occur again.",G(deliver_bottle_shelf -> XG!search_handbag),G(deliver_bottle_shelf -> G(!search_handbag))
9715,Ensure you photograph monument_3 and afterward proceed to pathway_8 and stay there,F(monument_3 & photo & F(pathway_8 & G pathway_8)),! (photo & monument_3) | F ((photo & monument_3) & F (G (pathway_8)))
9716,"If (prop_3) then (prop_4), or else both (prop_2) and (prop_1) .",(prop_3 -> prop_4) | (prop_1 & prop_2),G((prop_3 -> prop_4) | (prop_2 & prop_1))
9717,at some time ( prop_1 ) and never ( prop_2 ),F(prop_1 & G!prop_2),F(prop_1 ) & G(!prop_2 )
9719,It is not the case that ( prop_3 ) happens and continues to happen until ( prop_1 ) is detected and also ( prop_2 ) .,!(prop_2 & (prop_3 U prop_1)),!(prop_3 U (prop_1 & prop_2))
9720,( prop_1 ) can infer that ( prop_2 ),prop_1 -> prop_2,G(prop_1 -> prop_2)
9721,"if at some time ( prop_1 ) , at any time ( prop_2 )",F prop_1 -> F prop_2,F(prop_1 ) -> G(prop_2 )
9724,"For each time instant in the coming time units either ( prop_3 ) or ( prop_2 ) should be detected , as well as ( prop_1 ) .",prop_1 & G(prop_2 | prop_3),G((prop_3 | prop_2) & prop_1)
9725,when possible ( prop_1 ) and at any time ( prop_2 ),F(prop_1 & F prop_2),F(prop_1 ) & G(prop_2 )
9727,"eternally, both the brake is pressed and the bar is down after either a car starts or the bar is closing",G((bar_is_closing | car_starts) -> G(bar_is_down & brake_is_pressed)),G((car_starts | bar_is_closing) -> F(brake_is_pressed & bar_is_down))
9732,"Globally , if ( prop_1 ) , or ( prop_3 ) then promptly ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2),G((prop_1 | prop_3) -> X(prop_2))
9733,never drop orange or at any time track_towards tree,G!drop_orange | F track_towards_tree,G(!drop_orange) | G(track_towards_tree)
9734,"Until (prop_3) and (prop_1) happen at the same time, keep (prop_2) from happening .",!prop_3 U (prop_1 & prop_2),(!prop_2) U (prop_3 & prop_1)
9737,The scenario in which either (prop_3) or (prop_2) happens is equivalent to the scenario in which (prop_1) does not happen .,!prop_1 <-> (prop_2 | prop_3),G((prop_3 | prop_2) <-> !prop_1)
9738,when possible go_by tree or don't let_go pear,!let_go_pear | F go_by_tree,G(possible -> (go_by_tree | !let_go_pear))
9740,never drop apple until whenever reach flag,G!drop_apple U F reach_flag,!drop_apple U reach_flag
9741,"This controller must avoid the nearest_unstable_beam should always hold, with at most a two-step grace period for recovery.",!G!(avoid_nearest_unstable_beam & X avoid_nearest_unstable_beam),G(avoid_nearest_unstable_beam | X avoid_nearest_unstable_beam | X X avoid_nearest_unstable_beam)
9744,"If (prop_1) and (prop_4), then keep (prop_2) until (prop_3) happens .",(prop_1 & prop_4) -> (prop_2 U prop_3),G((prop_1 & prop_4) -> (prop_2 U prop_3))
9745,when possible migrate_to tree can infer that whenever go_to transh can,F migrate_to_tree -> F go_to_transh_can,G(go_to_transh_can -> F(migrate_to_tree))
9746,when possible get apple until hold orange,F get_apple U hold_orange,G(get_apple U hold_orange)
9750,For all time (prop_1) is true or else both (prop_2) and (prop_3) are true .,(prop_2 & prop_3) | G prop_1,G(prop_1 | (prop_2 & prop_3))
9753,"in the future the elevator is blocked or the escalator speeds up and, at some point either the manager handles requests or a motorbike has started afterwards",G!(elevator_is_blocked | escalator_speeds_up) | F((elevator_is_blocked | escalator_speeds_up) & F(manager_handles_requests | motorbike_has_started)),F(elevator_is_blocked | escalator_speeds_up) & F(manager_handles_requests | F(motorbike_has_started))
9754,"If ( prop_1 ) is equivalent to ( prop_2 ) and also ( prop_3 ) , then ( prop_4 ) .",(prop_3 & (prop_1 <-> prop_2)) -> prop_4,G((prop_1 <-> prop_2) & prop_3 -> prop_4)
9755,"Update light_south red must hold until change light_north red does, or else change light_south red holds forever.",(change_light_south_red U change_light_north_red) | G change_light_south_red,(update_light_south_red U change_light_north_red) | G change_light_south_red
9756,"If ( prop_2 ) does not happen, then either ( prop_1 ) or ( prop_3 ) should happen.",!prop_2 -> (prop_1 | prop_3),G(!prop_2 -> (prop_1 | prop_3))
9758,"It is globally the case that if ( prop_2 ) and ( prop_3 ) then ( prop_1 ) should be true , and vice versa .",prop_1 <-> G(prop_2 & prop_3),G((prop_2 & prop_3) <-> prop_1 )
9760,"Until you do not do (prop_1), keep doing either (prop_2) or (prop_3) .",(prop_1 | prop_2) U !prop_3,(prop_2 | prop_3) U (!prop_1)
9762,whenever ( prop_1 ) or don't ( prop_2 ),F(prop_1 | !prop_2),G(prop_1 | ! prop_2)
9764,when possible go_near house and don't let_go orange,!let_go_orange & F go_near_house,G(go_near_house & !let_go_orange)
9765,never drop orange means that when possible proceed_to tree,G!drop_orange -> F proceed_to_tree,G(!drop_orange -> proceed_to_tree)
9767,"It is always the case that while ( prop_1 ) , and ( prop_4 ) then eventually at a certain moment in the future before ( prop_2 ) , and before that ( prop_3 ) .",G((prop_1 & prop_4) -> (prop_2 U prop_3)),G((prop_1 & prop_4) -> F(prop_3 & F(prop_2)))
9768,You need to wait until (prop_2) before (prop_1).,prop_2 U prop_1,!prop_1 U prop_2
9769,"In case that ( prop_2 ) and ( prop_4 ) then the following condition holds : at sometime in the future before the end of the simulation ( prop_1 ) , and until then without interruption ( prop_3 ) .",G((prop_2 & prop_4) -> (prop_1 U prop_3)),G((prop_2 & prop_4) -> (prop_3 U prop_1))
9770,"If ( prop_3 ) then ( prop_2 ) , and ( prop_1 ) .",prop_1 & (prop_3 -> prop_2),G((prop_3 -> prop_2) & prop_1)
9771,at some time ( prop_1 ) and never ( prop_2 ),F(prop_1 & G!prop_2),F(prop_1 ) & G(!prop_2 )
9772,forever move_around or when possible touch tree,G move_around | F touch_tree,G(move_around | F touch_tree)
9774,"For all time, (prop_3) is always true, and in addition, (prop_2) or (prop_1) should also be true .",(prop_1 | prop_2) & G prop_3,G(prop_3 & (prop_2 | prop_1))
9775,"Globally , when the transition action that ( prop_3 ) takes place then all of the following conditions are true : ( prop_1 ) , and immediately ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2)),G(prop_3 -> (prop_1 & X prop_2))
9777,You must Please idle and then search the laptop.,idle U search_laptop,!idle | F(idle & F(search_laptop))
9779,when possible ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2
9782,never ( prop_1 ) and ( prop_2 ),G(!prop_1 & prop_2),G(!(prop_1 & prop_2))
9785,Make (prop_3) happen at some point if (prop_2) is equivalent to (prop_1) .,(prop_2 <-> prop_3) -> F prop_1,G((prop_2 <-> prop_1) -> F(prop_3 ))
9786,"On condition that the transition action that ( prop_1 ) occurs or the scenario that ( prop_3 ) is observed , then there shall exist a time in the future before the simulation ends , at which ( prop_2 ) .",G((prop_1 | prop_3) -> FG prop_2),G((prop_1 | prop_3) -> F(prop_2))
