original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
If you do (prop_1) and observe (prop_2), or if you only do (prop_4), then you should do (prop_3) .;( ( prop_1 & prop_2 ) | ( prop_4 -> prop_3 ) );(prop_4 -> prop_3) | (prop_1 & prop_2);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_3 -> ap_2) | (ap_0 & ap_1);lifted_data_pureLTL.jsonl;(prop -> prop) | (prop & prop);(prop -> prop) | (prop & prop);2
whenever ( prop_1 ) until ( prop_2 );F ( prop_1 U prop_2 );F(prop_1 U prop_2);['prop_1', 'prop_2'];;;;F(ap_0 U ap_1);lifted_data_pureLTL.jsonl;F(prop U prop);F(prop U prop);2
If (prop_2) doesn't happen, then if (prop_3), make (prop_1) .;( ! prop_2 -> ( prop_3 -> prop_1 ) );!prop_2 -> (prop_3 -> prop_1);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 -> (ap_2 -> ap_0);lifted_data_pureLTL.jsonl;!prop -> (prop -> prop);!prop -> (prop -> prop);2
If it is not the case that at some future time ( prop_1 ) or ( prop_2 ) , then ( prop_3 ) is true , and vice versa .;( ! ( F ( prop_1 | prop_2 ) ) <-> prop_3 );prop_3 <-> !F(prop_1 | prop_2);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 <-> !F(ap_0 | ap_1);lifted_data_pureLTL.jsonl;prop <-> !F(prop | prop);prop <-> !F(prop | prop);2
when possible ( prop_1 ) or ( prop_2 );F ( prop_1 | prop_2 );F(prop_1 | prop_2);['prop_1', 'prop_2'];;;;F(ap_0 | ap_1);lifted_data_pureLTL.jsonl;F(prop | prop);F(prop | prop);2
If (prop_2) is always true, then either (prop_3) or (prop_1) should happen .;( G prop_2 -> ( prop_3 | prop_1 ) );G prop_2 -> (prop_1 | prop_3);['prop_1', 'prop_2', 'prop_3'];;;;Gap_1 -> (ap_0 | ap_2);lifted_data_pureLTL.jsonl;Gprop -> (prop | prop);Gprop -> (prop | prop);2
( prop_1 ) or when possible ( prop_2 );( prop_1 | F prop_2 );prop_1 | F prop_2;['prop_1', 'prop_2'];;;;ap_0 | Fap_1;lifted_data_pureLTL.jsonl;prop | Fprop;prop | Fprop;2
If you do (prop_2), then you should do (prop_1), or else don't do (prop_3) .;( ( prop_2 -> prop_1 ) | ! prop_3 );!prop_3 | (prop_2 -> prop_1);['prop_1', 'prop_2', 'prop_3'];;;;!ap_2 | (ap_1 -> ap_0);lifted_data_pureLTL.jsonl;!prop | (prop -> prop);!prop | (prop -> prop);2
If the event that ( prop_3 ) occurs then the following condition is true : in no time the transition action that ( prop_1 ) should get observed or ( prop_2 ) .;G ( prop_3 -> ( prop_1 | prop_2 ) );G(prop_3 -> (prop_1 | prop_2));['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> (ap_0 | ap_1));lifted_data_pureLTL.jsonl;G(prop -> (prop | prop));G(prop -> (prop | prop));2
During the interval that ( prop_2 ) , or ( prop_3 ) then all of the following conditions are true : ( prop_1 ) then this condition will consistently keep in the future before the end of the simulation .;G ( ( prop_2 | prop_3 ) -> G prop_1 );G((prop_2 | prop_3) -> G prop_1);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_1 | ap_2) -> Gap_0);lifted_data_pureLTL.jsonl;G((prop | prop) -> Gprop);G((prop | prop) -> Gprop);2
In case that ( prop_2 ) and ( prop_3 ) and ( prop_1 ) are all detected or in case that ( prop_4 ) is detected .;( ( ( prop_2 & prop_3 ) & prop_1 ) | prop_4 );prop_4 | (prop_1 & prop_2 & prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 | (ap_0 & ap_1 & ap_2);lifted_data_pureLTL.jsonl;prop | (prop & prop & prop);prop | (prop & prop & prop);2
( prop_1 ) can infer that never ( prop_2 );( prop_1 -> G ( ! prop_2 ) );prop_1 -> G!prop_2;['prop_1', 'prop_2'];;;;ap_0 -> G!ap_1;lifted_data_pureLTL.jsonl;prop -> G!prop;prop -> G!prop;2
Whenever ( prop_1 ) , and ( prop_2 ) , then all of the following conditions are true : ( prop_3 ) .;G ( ( prop_1 & prop_2 ) -> prop_3 );G((prop_1 & prop_2) -> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 & ap_1) -> ap_2);lifted_data_pureLTL.jsonl;G((prop & prop) -> prop);G((prop & prop) -> prop);2
If it is the case that ( prop_4 ) implies ( prop_2 ) is equivalent to ( prop_3 ), then implies ( prop_1 ) .;( ( ( prop_4 -> prop_2 ) <-> prop_3 ) -> prop_1 );(prop_3 <-> (prop_4 -> prop_2)) -> prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_2 <-> (ap_3 -> ap_1)) -> ap_0;lifted_data_pureLTL.jsonl;(prop <-> (prop -> prop)) -> prop;(prop <-> (prop -> prop)) -> prop;2
If (prop_3) occurs and (prop_2), then (prop_4) or else (prop_1), and vice versa .;( ( prop_3 & prop_2 ) <-> ( prop_4 | prop_1 ) );(prop_2 & prop_3) <-> (prop_1 | prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 & ap_2) <-> (ap_0 | ap_3);lifted_data_pureLTL.jsonl;(prop & prop) <-> (prop | prop);(prop & prop) <-> (prop | prop);2
As soon as ( prop_3 ) and the transition action that ( prop_1 ) gets detected , then all of the following conditions are true : for every time instant in the future till the end of the simulation there shall exist a certain time point in the future before the execution ends , at which ( prop_2 ) .;G ( ( prop_3 & prop_1 ) -> G ( F prop_2 ) );G((prop_1 & prop_3) -> GF prop_2);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 & ap_2) -> GFap_1);lifted_data_pureLTL.jsonl;G((prop & prop) -> GFprop);G((prop & prop) -> GFprop);2
whenever ( prop_1 ) and at some time ( prop_2 );F ( prop_1 & F prop_2 );F(prop_1 & F prop_2);['prop_1', 'prop_2'];;;;F(ap_0 & Fap_1);lifted_data_pureLTL.jsonl;F(prop & Fprop);F(prop & Fprop);2
If (prop_1) is achieved at some point, then (prop_2) should be equivalent to (prop_3) .;( F prop_1 -> ( prop_2 <-> prop_3 ) );F prop_1 -> (prop_2 <-> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;Fap_0 -> (ap_1 <-> ap_2);lifted_data_pureLTL.jsonl;Fprop -> (prop <-> prop);Fprop -> (prop <-> prop);2
Either (prop_3) happens until (prop_2), or make sure (prop_1) does not happen .;( ( prop_3 U prop_2 ) | ! prop_1 );!prop_1 | (prop_3 U prop_2);['prop_1', 'prop_2', 'prop_3'];;;;!ap_0 | (ap_2 U ap_1);lifted_data_pureLTL.jsonl;!prop | (prop U prop);!prop | (prop U prop);2
If (prop_2) happens, then (prop_3) should happen as well. The above scenario is equivalent to the situation where (prop_1) is always true.;( ( prop_2 -> prop_3 ) <-> G prop_1 );(prop_2 -> prop_3) <-> G prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 -> ap_2) <-> Gap_0;lifted_data_pureLTL.jsonl;(prop -> prop) <-> Gprop;(prop -> prop) <-> Gprop;2
( prop_1 ) or repeatedly ( prop_2 );( prop_1 | G ( F prop_2 ) );prop_1 | GF prop_2;['prop_1', 'prop_2'];;;;ap_0 | GFap_1;lifted_data_pureLTL.jsonl;prop | GFprop;prop | GFprop;2
at some time ( prop_1 ) and whenever ( prop_2 );F ( prop_1 & F prop_2 );F(prop_1 & F prop_2);['prop_1', 'prop_2'];;;;F(ap_0 & Fap_1);lifted_data_pureLTL.jsonl;F(prop & Fprop);F(prop & Fprop);2
Not (prop_3) is equivalent to having both (prop_2) and (prop_1) happen at the same time.;( ! prop_3 <-> ( prop_2 & prop_1 ) );!prop_3 <-> (prop_1 & prop_2);['prop_1', 'prop_2', 'prop_3'];;;;!ap_2 <-> (ap_0 & ap_1);lifted_data_pureLTL.jsonl;!prop <-> (prop & prop);!prop <-> (prop & prop);2
If (prop_1), then (prop_3), and if (prop_2), then (prop_4), are equivalent .;( ( prop_1 -> prop_3 ) <-> ( prop_2 -> prop_4 ) );(prop_1 -> prop_3) <-> (prop_2 -> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 -> ap_2) <-> (ap_1 -> ap_3);lifted_data_pureLTL.jsonl;(prop -> prop) <-> (prop -> prop);(prop -> prop) <-> (prop -> prop);2
If (prop_2) happens and continues until (prop_1), then (prop_3) should not happen .;( ( prop_2 U prop_1 ) -> ! prop_3 );(prop_2 U prop_1) -> !prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 U ap_0) -> !ap_2;lifted_data_pureLTL.jsonl;(prop U prop) -> !prop;(prop U prop) -> !prop;2
Once (prop_1), (prop_2).;( prop_1 -> prop_2 );prop_1 -> prop_2;['prop_1', 'prop_2'];;;;ap_0 -> ap_1;lifted_data_pureLTL.jsonl;prop -> prop;prop -> prop;2
At some point, (prop_1);F prop_1;F prop_1;['prop_1'];;;;Fap_0;lifted_data_pureLTL.jsonl;Fprop;Fprop;2
If (prop_1) is going to happen eventually, then if (prop_2) happens then (prop_3) should also happen .;( F prop_1 -> ( prop_2 -> prop_3 ) );F prop_1 -> (prop_2 -> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;Fap_0 -> (ap_1 -> ap_2);lifted_data_pureLTL.jsonl;Fprop -> (prop -> prop);Fprop -> (prop -> prop);2
( prop_1 ) and ( prop_2 ) should happen at the same time , and this scenario will hold until ( prop_3 ) does not happen .;( ( prop_1 & prop_2 ) U ! prop_3 );(prop_1 & prop_2) U !prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 & ap_1) U !ap_2;lifted_data_pureLTL.jsonl;(prop & prop) U !prop;(prop & prop) U !prop;2
Either (prop_2) is equivalent to the scenario in which (prop_3) happens, or else (prop_1) at some point .;( ( prop_2 <-> prop_3 ) | F prop_1 );(prop_2 <-> prop_3) | F prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 <-> ap_2) | Fap_0;lifted_data_pureLTL.jsonl;(prop <-> prop) | Fprop;(prop <-> prop) | Fprop;2
( prop_1 ) or never ( prop_2 );( prop_1 | G ( ! prop_2 ) );prop_1 | G!prop_2;['prop_1', 'prop_2'];;;;ap_0 | G!ap_1;lifted_data_pureLTL.jsonl;prop | G!prop;prop | G!prop;2
If you do not do (prop_2), then either (prop_1) or (prop_3) .;( ! prop_2 -> ( prop_1 | prop_3 ) );!prop_2 -> (prop_1 | prop_3);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 -> (ap_0 | ap_2);lifted_data_pureLTL.jsonl;!prop -> (prop | prop);!prop -> (prop | prop);2
In case that ( prop_4 ) happens and continues to happen until ( prop_3 ) is detected , as well as ( prop_1 ) , and also ( prop_2 ) then .;( ( ( prop_4 U prop_3 ) & prop_1 ) & prop_2 );prop_1 & prop_2 & (prop_4 U prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 & ap_1 & (ap_3 U ap_2);lifted_data_pureLTL.jsonl;prop & prop & (prop U prop);prop & prop & (prop U prop);2
If ( prop_2 ) is equivalent to ( prop_3 ), then it is required that ( prop_1 ) does not happen.;( ( prop_2 <-> prop_3 ) -> ! prop_1 );(prop_2 <-> prop_3) -> !prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 <-> ap_2) -> !ap_0;lifted_data_pureLTL.jsonl;(prop <-> prop) -> !prop;(prop <-> prop) -> !prop;2
(prop_3) is always true if and only if either (prop_1) or (prop_2) is true .;( G prop_3 <-> ( prop_1 | prop_2 ) );(prop_1 | prop_2) <-> G prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 | ap_1) <-> Gap_2;lifted_data_pureLTL.jsonl;(prop | prop) <-> Gprop;(prop | prop) <-> Gprop;2
If both ( prop_3 ) and ( prop_1 ) do not happen , then ( prop_2 ) .;( ! ( prop_3 & prop_1 ) -> prop_2 );!(prop_1 & prop_3) -> prop_2;['prop_1', 'prop_2', 'prop_3'];;;;!(ap_0 & ap_2) -> ap_1;lifted_data_pureLTL.jsonl;!(prop & prop) -> prop;!(prop & prop) -> prop;2
It is required that at a certain point the scenario in which ( prop_2 ) happens and then ( prop_1 ) , is equivalent to ( prop_3 ) .;( F ( prop_2 -> prop_1 ) <-> prop_3 );prop_3 <-> F(prop_2 -> prop_1);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 <-> F(ap_1 -> ap_0);lifted_data_pureLTL.jsonl;prop <-> F(prop -> prop);prop <-> F(prop -> prop);2
( prop_1 ) until at any time ( prop_2 );( prop_1 U F prop_2 );prop_1 U F prop_2;['prop_1', 'prop_2'];;;;ap_0 U Fap_1;lifted_data_pureLTL.jsonl;prop U Fprop;prop U Fprop;2
If ( prop_1 ) then ( prop_2 ) and also ( prop_3 ) .;( ( prop_1 -> prop_2 ) & prop_3 );prop_3 & (prop_1 -> prop_2);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 & (ap_0 -> ap_1);lifted_data_pureLTL.jsonl;prop & (prop -> prop);prop & (prop -> prop);2
( prop_1 ) or never ( prop_2 );( prop_1 | G ( ! prop_2 ) );prop_1 | G!prop_2;['prop_1', 'prop_2'];;;;ap_0 | G!ap_1;lifted_data_pureLTL.jsonl;prop | G!prop;prop | G!prop;2
If at some point (prop_1) or (prop_3) occurs, then keep doing that until (prop_2) and (prop_4) are equivalent .;( ( prop_1 | prop_3 ) U ( prop_2 <-> prop_4 ) );(prop_1 | prop_3) U (prop_2 <-> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 | ap_2) U (ap_1 <-> ap_3);lifted_data_pureLTL.jsonl;(prop | prop) U (prop <-> prop);(prop | prop) U (prop <-> prop);2
If you do not do (prop_3) and instead do (prop_2), then always do (prop_1) .;( ( ! prop_3 & prop_2 ) -> G prop_1 );(prop_2 & !prop_3) -> G prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 & !ap_2) -> Gap_0;lifted_data_pureLTL.jsonl;(prop & !prop) -> Gprop;(prop & !prop) -> Gprop;2
when possible ( prop_1 ) and never ( prop_2 );F ( prop_1 & G ( ! prop_2 ) );F(prop_1 & G!prop_2);['prop_1', 'prop_2'];;;;F(ap_0 & G!ap_1);lifted_data_pureLTL.jsonl;F(prop & G!prop);F(prop & G!prop);2
If ( prop_3 ) does not happen until ( prop_1 ) is detected , then ( prop_2 ) .;( ( ! prop_3 U prop_1 ) -> prop_2 );(!prop_3 U prop_1) -> prop_2;['prop_1', 'prop_2', 'prop_3'];;;;(!ap_2 U ap_0) -> ap_1;lifted_data_pureLTL.jsonl;(!prop U prop) -> prop;(!prop U prop) -> prop;2
If either (prop_3) or (prop_1) happens, then (prop_4) should be equivalent to (prop_2) .;( ( prop_3 | prop_1 ) -> ( prop_4 <-> prop_2 ) );(prop_1 | prop_3) -> (prop_2 <-> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 | ap_2) -> (ap_1 <-> ap_3);lifted_data_pureLTL.jsonl;(prop | prop) -> (prop <-> prop);(prop | prop) -> (prop <-> prop);2
If the scenario that ( prop_2 ) is detected then ( prop_4 ) , and ( prop_3 ) , then ( prop_1 ) .;( ( ( prop_2 -> prop_4 ) & prop_3 ) -> prop_1 );(prop_3 & (prop_2 -> prop_4)) -> prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_2 & (ap_1 -> ap_3)) -> ap_0;lifted_data_pureLTL.jsonl;(prop & (prop -> prop)) -> prop;(prop & (prop -> prop)) -> prop;2
(prop_2) and then (prop_1).;prop_2 U prop_1;prop_2 U prop_1;['prop_1', 'prop_2'];;;;ap_1 U ap_0;lifted_data_pureLTL.jsonl;prop U prop;prop U prop;2
Globally , in case that ( prop_2 ) , and ( prop_1 ) then in response simultaneously ( prop_4 ) , and ( prop_3 ) .;G ( ( prop_2 & prop_1 ) -> ( prop_4 & prop_3 ) );G((prop_1 & prop_2) -> (prop_3 & prop_4));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_0 & ap_1) -> (ap_2 & ap_3));lifted_data_pureLTL.jsonl;G((prop & prop) -> (prop & prop));G((prop & prop) -> (prop & prop));2
whenever ( prop_1 ) or at some time ( prop_2 );F ( prop_1 | F prop_2 );F(prop_1 | F prop_2);['prop_1', 'prop_2'];;;;F(ap_0 | Fap_1);lifted_data_pureLTL.jsonl;F(prop | Fprop);F(prop | Fprop);2
Globally , in case that ( prop_3 ) then at the same time point ( prop_2 ) , or ( prop_1 ) .;G ( prop_3 -> ( prop_2 | prop_1 ) );G(prop_3 -> (prop_1 | prop_2));['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> (ap_0 | ap_1));lifted_data_pureLTL.jsonl;G(prop -> (prop | prop));G(prop -> (prop | prop));2
( prop_1 ) should not happen if ( prop_3 ) does happen , and ( prop_2 ) should also be true all the time . ;( ( prop_1 -> ! prop_3 ) & G prop_2 );(prop_1 -> !prop_3) & G prop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 -> !ap_2) & Gap_1;lifted_data_pureLTL.jsonl;(prop -> !prop) & Gprop;(prop -> !prop) & Gprop;2
Either (prop_4) or (prop_3) should happen, or else (prop_2) should keep happening until (prop_1) .;( ( prop_4 | prop_3 ) | ( prop_2 U prop_1 ) );prop_3 | prop_4 | (prop_2 U prop_1);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 | ap_3 | (ap_1 U ap_0);lifted_data_pureLTL.jsonl;prop | prop | (prop U prop);prop | prop | (prop U prop);2
In the case ( prop_4 ) , and ( prop_1 ) , then all of the following conditions hold : the event that ( prop_2 ) has to take place instantly or simultaneously the event that ( prop_3 ) must n't happen .;G ( ( prop_4 & prop_1 ) -> ( prop_2 | prop_3 ) );G((prop_1 & prop_4) -> (prop_2 | prop_3));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_0 & ap_3) -> (ap_1 | ap_2));lifted_data_pureLTL.jsonl;G((prop & prop) -> (prop | prop));G((prop & prop) -> (prop | prop));2
don't ( prop_1 ) and when possible ( prop_2 );! ( F prop_1 & F prop_2 );!(F prop_1 & F prop_2);['prop_1', 'prop_2'];;;;!(Fap_0 & Fap_1);lifted_data_pureLTL.jsonl;!(Fprop & Fprop);!(Fprop & Fprop);2
Start by (prop_1).;prop_1;prop_1;['prop_1'];;;;ap_0;lifted_data_pureLTL.jsonl;prop;prop;2
It is equivalent to have the scenario that ( prop_2 ) if and only if either of the following two conditions is true : the scenario that ( prop_3 ) should lead to ( prop_1 ) , or the scenario that ( prop_4 ) .;( ( ( prop_2 -> prop_3 ) | prop_1 ) <-> prop_4 );prop_4 <-> (prop_1 | (prop_2 -> prop_3));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 <-> (ap_0 | (ap_1 -> ap_2));lifted_data_pureLTL.jsonl;prop <-> (prop | (prop -> prop));prop <-> (prop | (prop -> prop));2
If it is the case that the scenario where ( prop_2 ) leads to ( prop_3 ) then it should also leads to ( prop_1 ) .;( ( prop_2 -> prop_3 ) -> prop_1 );(prop_2 -> prop_3) -> prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 -> ap_2) -> ap_0;lifted_data_pureLTL.jsonl;(prop -> prop) -> prop;(prop -> prop) -> prop;2
It should be the case that if (prop_2) then (prop_3) happens if and only if (prop_1) finally happens .;( ( prop_2 -> prop_3 ) <-> F prop_1 );(prop_2 -> prop_3) <-> F prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 -> ap_2) <-> Fap_0;lifted_data_pureLTL.jsonl;(prop -> prop) <-> Fprop;(prop -> prop) <-> Fprop;2
at some time ( prop_1 ) and repeatedly ( prop_2 );F ( prop_1 & G ( F prop_2 ) );F(prop_1 & GF prop_2);['prop_1', 'prop_2'];;;;F(ap_0 & GFap_1);lifted_data_pureLTL.jsonl;F(prop & GFprop);F(prop & GFprop);2
If (prop_4) and (prop_3) happen at the same time, or if (prop_2), then you should do (prop_1) .;( ( prop_4 & prop_3 ) | ( prop_2 -> prop_1 ) );(prop_2 -> prop_1) | (prop_3 & prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 -> ap_0) | (ap_2 & ap_3);lifted_data_pureLTL.jsonl;(prop -> prop) | (prop & prop);(prop -> prop) | (prop & prop);2
when possible ( prop_1 ) means that ( prop_2 );( F prop_1 -> prop_2 );F prop_1 -> prop_2;['prop_1', 'prop_2'];;;;Fap_0 -> ap_1;lifted_data_pureLTL.jsonl;Fprop -> prop;Fprop -> prop;2
forever ( prop_1 ) until ( prop_2 );G ( prop_1 U prop_2 );G(prop_1 U prop_2);['prop_1', 'prop_2'];;;;G(ap_0 U ap_1);lifted_data_pureLTL.jsonl;G(prop U prop);G(prop U prop);2
At some point ( prop_1 ) should happen , or else if ( prop_3 ) then ( prop_2 ) .;( F prop_1 | ( prop_3 -> prop_2 ) );(prop_3 -> prop_2) | F prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_2 -> ap_1) | Fap_0;lifted_data_pureLTL.jsonl;(prop -> prop) | Fprop;(prop -> prop) | Fprop;2
at some time ( prop_1 ) and repeatedly ( prop_2 );F ( prop_1 & G ( F prop_2 ) );F(prop_1 & GF prop_2);['prop_1', 'prop_2'];;;;F(ap_0 & GFap_1);lifted_data_pureLTL.jsonl;F(prop & GFprop);F(prop & GFprop);2
If ( prop_2 ) is equivalent to ( prop_4 ) , then ( prop_3 ) and ( prop_1 ) .;( ( prop_2 <-> prop_4 ) -> ( prop_3 & prop_1 ) );(prop_2 <-> prop_4) -> (prop_1 & prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 <-> ap_3) -> (ap_0 & ap_2);lifted_data_pureLTL.jsonl;(prop <-> prop) -> (prop & prop);(prop <-> prop) -> (prop & prop);2
If (prop_2), then (prop_3), or else (prop_1) is equivalent to (prop_4) .;( ( prop_2 -> prop_3 ) | ( prop_1 <-> prop_4 ) );(prop_2 -> prop_3) | (prop_1 <-> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 -> ap_2) | (ap_0 <-> ap_3);lifted_data_pureLTL.jsonl;(prop -> prop) | (prop <-> prop);(prop -> prop) | (prop <-> prop);2
( prop_1 ) keeps happening until the scenario that ( prop_3 ) happens at some point in the future , then ( prop_2 ) should be observed , or else ( prop_4 ) .;( ( ( prop_1 U prop_3 ) -> prop_2 ) | prop_4 );prop_4 | ((prop_1 U prop_3) -> prop_2);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 | ((ap_0 U ap_2) -> ap_1);lifted_data_pureLTL.jsonl;prop | ((prop U prop) -> prop);prop | ((prop U prop) -> prop);2
always ( prop_1 ) until at any time ( prop_2 );G ( prop_1 U F prop_2 );G(prop_1 U F prop_2);['prop_1', 'prop_2'];;;;G(ap_0 U Fap_1);lifted_data_pureLTL.jsonl;G(prop U Fprop);G(prop U Fprop);2
It is always the case that while ( prop_1 ) , or ( prop_4 ) then there shall be a certain time point in the future before the end of the simulation , at which the event that ( prop_2 ) is not detected finally , before this ( prop_3 ) .;G ( ( prop_1 | prop_4 ) -> ( prop_2 U prop_3 ) );G((prop_1 | prop_4) -> (prop_2 U prop_3));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_0 | ap_3) -> (ap_1 U ap_2));lifted_data_pureLTL.jsonl;G((prop | prop) -> (prop U prop));G((prop | prop) -> (prop U prop));2
If (prop_3) is always true, then make sure (prop_1) and (prop_2) are both true .;( G prop_3 -> ( prop_1 & prop_2 ) );G prop_3 -> (prop_1 & prop_2);['prop_1', 'prop_2', 'prop_3'];;;;Gap_2 -> (ap_0 & ap_1);lifted_data_pureLTL.jsonl;Gprop -> (prop & prop);Gprop -> (prop & prop);2
at any time ( prop_1 ) until never ( prop_2 );F ( prop_1 U G ( ! prop_2 ) );F(prop_1 U G!prop_2);['prop_1', 'prop_2'];;;;F(ap_0 U G!ap_1);lifted_data_pureLTL.jsonl;F(prop U G!prop);F(prop U G!prop);2
If ( prop_1 ) is equivalent to ( prop_2 ) and ( prop_4 ) is true, then ( prop_3 ) is also true .;( ( ( prop_1 <-> prop_2 ) & prop_4 ) -> prop_3 );(prop_4 & (prop_1 <-> prop_2)) -> prop_3;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_3 & (ap_0 <-> ap_1)) -> ap_2;lifted_data_pureLTL.jsonl;(prop & (prop <-> prop)) -> prop;(prop & (prop <-> prop)) -> prop;2
If it is not the case that ( prop_3 ) then ( prop_2 ) happens , or else ( prop_1 ) .;( ! ( prop_3 -> prop_2 ) | prop_1 );prop_1 | !(prop_3 -> prop_2);['prop_1', 'prop_2', 'prop_3'];;;;ap_0 | !(ap_2 -> ap_1);lifted_data_pureLTL.jsonl;prop | !(prop -> prop);prop | !(prop -> prop);2
Either (prop_3) happens until (prop_1), or (prop_2) doesn't happen .;( ( prop_3 U prop_1 ) | ! prop_2 );!prop_2 | (prop_3 U prop_1);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 | (ap_2 U ap_0);lifted_data_pureLTL.jsonl;!prop | (prop U prop);!prop | (prop U prop);2
Check if (prop_3) is equivalent to (prop_2), and also (prop_1) or else (prop_4) .;( ( prop_3 <-> prop_2 ) & ( prop_1 | prop_4 ) );(prop_2 <-> prop_3) & (prop_1 | prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 <-> ap_2) & (ap_0 | ap_3);lifted_data_pureLTL.jsonl;(prop <-> prop) & (prop | prop);(prop <-> prop) & (prop | prop);2
If it is not the case that ( prop_3 ) is detected and ( prop_2 ) is detected , then ( prop_1 ) should be detected .;( ( ! prop_3 & prop_2 ) -> prop_1 );(prop_2 & !prop_3) -> prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 & !ap_2) -> ap_0;lifted_data_pureLTL.jsonl;(prop & !prop) -> prop;(prop & !prop) -> prop;2
If ( prop_1 ) is equivalent to ( prop_3 ) and this scenario continues until ( prop_4 ) , then ( prop_2 ) .;( ( ( prop_1 <-> prop_3 ) U prop_4 ) -> prop_2 );((prop_1 <-> prop_3) U prop_4) -> prop_2;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;((ap_0 <-> ap_2) U ap_3) -> ap_1;lifted_data_pureLTL.jsonl;((prop <-> prop) U prop) -> prop;((prop <-> prop) U prop) -> prop;2
if ( prop_1 ) , always ( prop_2 );( prop_1 -> G prop_2 );prop_1 -> G prop_2;['prop_1', 'prop_2'];;;;ap_0 -> Gap_1;lifted_data_pureLTL.jsonl;prop -> Gprop;prop -> Gprop;2
The scenario that ( prop_1 ) or the scenario that ( prop_3 ) should always be true until ( prop_2 ) happens at some point in the future , and also ( prop_4 ) should be true .;( ( ( prop_1 | prop_3 ) U prop_2 ) & prop_4 );prop_4 & ((prop_1 | prop_3) U prop_2);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 & ((ap_0 | ap_2) U ap_1);lifted_data_pureLTL.jsonl;prop & ((prop | prop) U prop);prop & ((prop | prop) U prop);2
If ( prop_2 ) and ( prop_1 ) are equivalent then ( prop_4 ) , or ( prop_3 ) is true .;( ( ( prop_2 <-> prop_1 ) -> prop_4 ) | prop_3 );prop_3 | ((prop_1 <-> prop_2) -> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 | ((ap_0 <-> ap_1) -> ap_3);lifted_data_pureLTL.jsonl;prop | ((prop <-> prop) -> prop);prop | ((prop <-> prop) -> prop);2
